abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_validity,context_chars,context_ids,end_to_end_ms,fallback,generation_error,generation_ms,generator_completion_tokens,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,rerank_ms,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_ms,retry_count,run_kind,source_contains_gold,split,wrong_answer
False,,,,A,11951999|2405259|12440953|15081770|24731248|33387953|6828370|11902109|19358586|6327940|27134527|36950726|2014909|12737132|10795340|21909315|15058155|34016944|29735200|24713020,,6000,11951999|2405259|12440953|15081770|24731248,16.741666000598343,False,,0.0,,,,200.18899999922724,en,0.0,0.0,0.0,0.0,0.0,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",1226,0.0,0.0,,0.0,,,,,,16.741666000598343,0,fixture,,test,False
False,,,,B,11951999|2405259|12440953|15081770|24731248|33387953|6828370|11902109|19358586|6327940|27134527|36950726|2014909|12737132|10795340|21909315|15058155|34016944|29735200|24713020,,6000,11951999|2405259|36950726|34016944|6828370,6872.650875000545,False,,0.0,,,,,en,0.0,0.0,0.0,0.0,0.0,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",1226,0.0,0.0,,6855.909208999947,,,,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,16.741666000598343,0,fixture,,test,False
False,,,,D,11951999|2405259|12440953|15081770|24731248|33387953|6828370|11902109|19358586|6327940|27134527|36950726|2014909|12737132|10795340|21909315|15058155|34016944|29735200|24713020,,5673,2405259|19358586|27134527|21909315|12440953,17.01112400041893,False,,0.0,,,,,en,0.0,0.0,0.0,0.0,0.0,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",1226,0.0,0.0,,0.26945799982058816,,,,fixture-not-jev,fixture-not-jev,16.741666000598343,0,fixture,,test,False
False,,,,B,45638119|8963413|24341590|23830488|21439640|2140497|13906581|13069283|27240667|7821634|9394119|3285322|25973484|20886584|313403|16734530|12438901|4429932|13831558|37480103,,6000,45638119|8963413|21439640|4429932|20886584,361.6852500017558,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,ALDH1 expression is associated with better breast cancer outcomes.,51,1.0,1.0,,350.2550830016844,,,,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,11.430167000071378,0,fixture,,test,False
False,,,,D,45638119|8963413|24341590|23830488|21439640|2140497|13906581|13069283|27240667|7821634|9394119|3285322|25973484|20886584|313403|16734530|12438901|4429932|13831558|37480103,,6000,8963413|24341590|21439640|25973484|4429932,11.902791997272288,False,,0.0,,,,,en,1.0,0.0,1.0,0.0,0.0,ALDH1 expression is associated with better breast cancer outcomes.,51,1.0,0.0,,0.47262499720091,,,,fixture-not-jev,fixture-not-jev,11.430167000071378,0,fixture,,test,False
False,,,,A,45638119|8963413|24341590|23830488|21439640|2140497|13906581|13069283|27240667|7821634|9394119|3285322|25973484|20886584|313403|16734530|12438901|4429932|13831558|37480103,,6000,45638119|8963413|24341590|23830488|21439640,11.430167000071378,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,ALDH1 expression is associated with better breast cancer outcomes.,51,1.0,1.0,,0.0,,,,,,11.430167000071378,0,fixture,,test,False
False,,,,D,4687948|16812091|7965928|2391552|22420524|42298280|143796742|7613033|7209559|44048701|9555784|5700349|40156901|1287809|11246427|3613041|23967973|8814634|24918110|46277811,,6000,4687948|16812091|7965928|42298280|143796742,13.764999996055849,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,There is an inverse relationship between hip fractures and statin use.,1290,1.0,1.0,,0.4387079970911145,,,,fixture-not-jev,fixture-not-jev,13.326291998964734,0,fixture,,test,False
False,,,,A,4687948|16812091|7965928|2391552|22420524|42298280|143796742|7613033|7209559|44048701|9555784|5700349|40156901|1287809|11246427|3613041|23967973|8814634|24918110|46277811,,6000,4687948|16812091|7965928|2391552|22420524,13.326291998964734,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,There is an inverse relationship between hip fractures and statin use.,1290,1.0,1.0,,0.0,,,,,,13.326291998964734,0,fixture,,test,False
False,,,,B,4687948|16812091|7965928|2391552|22420524|42298280|143796742|7613033|7209559|44048701|9555784|5700349|40156901|1287809|11246427|3613041|23967973|8814634|24918110|46277811,,6000,4687948|22420524|40156901|7965928|46277811,386.6578759989352,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,There is an inverse relationship between hip fractures and statin use.,1290,1.0,1.0,,373.33158399997046,,,,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,13.326291998964734,0,fixture,,test,False
False,,,,A,13734012|18617259|17333231|42240424|695938|1292369|16737163|11880289|103007|52180874|23531592|40769868|1171121|8963413|19824183|5710820|39291138|18340282|11718220|53302393,,6000,13734012|18617259|17333231|42240424|695938,9.925792001013178,False,,0.0,,,,,en,1.0,1.0,1.0,1.0,0.0,1/2000 in UK have abnormal PrP positivity.,5,1.0,1.0,,0.0,,,,,,9.925792001013178,0,fixture,,test,False
